Entrez_ID	hgnc_symbol	logFC	P.Value	adj.P.Val
148811	PM20D1	-5.082652412974171	7.523232108230394e-13	5.491246336438688e-11
55062	WIPI1	2.7214707242079275	7.565813108918635e-13	5.496277721247919e-11
6510	SLC1A5	3.508680028415071	7.715028771496706e-13	5.5783642305080174e-11
27254	CSDC2	-4.246191345088314	7.7928011789666e-13	5.6082678017413364e-11
54845	ESRP1	-2.6347931315509685	8.100130862790607e-13	5.8023309496668896e-11
9334	B4GALT5	2.6880857418764634	8.153571008071261e-13	5.8135716247826615e-11
778	CACNA1F	2.5486613478370987	8.455103826885128e-13	6.000785900362113e-11
64854	USP46	2.561980656740804	8.77386076163139e-13	6.19845089861858e-11
3730	ANOS1	6.073100171618113	8.931456046422852e-13	6.280975094564309e-11
170261	ZCCHC12	5.889415568473835	9.105289004272213e-13	6.368457738147116e-11
51286	CEND1	-3.3150786542817343	9.138556977667118e-13	6.368457738147116e-11
9609	RAB36	3.2353469775750003	9.499287591418364e-13	6.578023951199644e-11
8908	GYG2	-3.197006298262041	9.524701909730022e-13	6.578023951199644e-11
55799	CACNA2D3	5.121528671683557	9.716787874485775e-13	6.680725448881939e-11
288	ANK3	-1.6742148080244963	9.917143446905004e-13	6.788174498923732e-11
79913	ACTR5	3.666457266330931	1.0049021876571249e-12	6.848008226596186e-11
4045	LSAMP	3.919723478377409	1.03521368517111e-12	7.023491614678531e-11
84900	RNFT2	2.5015563047914426	1.0548130715213394e-12	7.125077243201819e-11
80345	ZSCAN16	2.5521813159392917	1.0739948201127275e-12	7.222966910286513e-11
4482	MSRA	2.068576920543544	1.088470686014306e-12	7.288494363176664e-11
2177	FANCD2	2.415487618477088	1.0933274616670456e-12	7.289323046378428e-11
8399	PLA2G10	-4.704332038090864	1.137537277452798e-12	7.52244206889073e-11
6296	ACSM3	-3.8308389695213725	1.150316529796615e-12	7.52244206889073e-11
27433	TOR2A	-3.0141065213301816	1.1510648083519183e-12	7.52244206889073e-11
23557	SNAPIN	2.6639203211113607	1.15203462632604e-12	7.52244206889073e-11
200634	KRTCAP3	-4.944617228107675	1.1527149719227402e-12	7.52244206889073e-11
2662	GDF10	-4.7846706976428095	1.1621910173685879e-12	7.552280109069039e-11
9703	BLTP2	3.833785931703898	1.1790125139694145e-12	7.629399885564265e-11
2065	ERBB3	-3.1738784523989736	1.1948618424067048e-12	7.69960972171785e-11
79574	EPS8L3	-2.3326686466889734	1.2162899073566786e-12	7.805033693000086e-11
9448	MAP4K4	2.5869056229975884	1.22275636918096e-12	7.81397130363318e-11
25797	QPCT	3.7139116610778284	1.2360252803821755e-12	7.866126174861935e-11
745	MYRF	-3.0283156249844536	1.252252134650256e-12	7.936598817180491e-11
54859	ELP6	2.28224188608813	1.2941400690452651e-12	8.168463607936939e-11
26059	ERC2	3.384615328983533	1.323078109578622e-12	8.317031006375655e-11
54733	SLC35F2	-2.6999491989151885	1.3550828614649965e-12	8.483589898139192e-11
2049	EPHB3	-3.652922212665376	1.374913727397424e-12	8.557165284727343e-11
5267	SERPINA4	-2.3266780748221416	1.3779475297788332e-12	8.557165284727343e-11
118611	C10orf90	3.467372358321347	1.414261750291773e-12	8.747407717366907e-11
26229	B3GAT3	2.993458822248927	1.431154195001255e-12	8.816482302885731e-11
27122	DKK3	3.014826667134134	1.4473025033989648e-12	8.877491461451604e-11
1131	CHRM3	-4.647865094389816	1.4606413281109949e-12	8.877491461451604e-11
66002	CYP4F12	4.942122541622811	1.467841866099806e-12	8.877491461451604e-11
4440	MSI1	-2.0458483029823418	1.469465319551521e-12	8.877491461451604e-11
56243	KIAA1217	3.5636884052330533	1.4698787888255041e-12	8.877491461451604e-11
9662	CEP135	2.4603955451227657	1.4812316866304085e-12	8.91111297101364e-11
3775	KCNK1	-3.0455588934224886	1.4986317427707363e-12	8.980711077981365e-11
58494	JAM2	3.4553829977282575	1.5125784341581072e-12	9.029155218786437e-11
7067	THRA	1.97377297557294	1.5360080040504315e-12	9.133613617907604e-11
10220	GDF11	2.564981862972826	1.5447289435297068e-12	9.150142484346544e-11
200373	CFAP221	-2.184945236324597	1.6055908279957567e-12	9.474216222974195e-11
23125	CAMTA2	-5.246214721234889	1.6553720448000234e-12	9.730681245024871e-11
54558	SPATA6	2.595540849689314	1.6930345109578622e-12	9.914229849149064e-11
1366	CLDN7	-5.406466021948558	1.7284202626713695e-12	1.0083106236894607e-10
155066	ATP6V0E2	2.917742980984686	1.7530853866747439e-12	1.016293680047094e-10
2535	FZD2	3.412306609476259	1.7553023757712292e-12	1.016293680047094e-10
79758	DHRS12	-2.0891890185993978	1.823544770427146e-12	1.0518506745074336e-10
23564	DDAH2	4.349998651974711	1.868540788130571e-12	1.0737834581342882e-10
22977	AKR7A3	-3.9719575972119197	1.8812541916303146e-12	1.0770704760334006e-10
3073	HEXA	2.5361362531274434	1.9077463901544543e-12	1.0881926723988425e-10
254295	PHYHD1	-3.88890399558234	1.96741519105867e-12	1.1180871349628996e-10
23208	SYT11	3.5242607485514448	1.991259230204843e-12	1.1254366999122335e-10
387923	SERP2	3.5030417188732788	1.9949627886243733e-12	1.1254366999122335e-10
139221	PWWP3B	-3.7524854615919843	2.0123417223201542e-12	1.1310976228267407e-10
23024	PDZRN3	2.668918859099467	2.0533189261793186e-12	1.1499332648031885e-10
646851	FAM227A	-3.613492347032821	2.1277619220391915e-12	1.1873065710625212e-10
22927	HABP4	3.3228278079259654	2.1546310666688016e-12	1.1956988876292778e-10
79679	VTCN1	-5.010155191432715	2.1583292692743274e-12	1.1956988876292778e-10
245812	CNPY4	2.6812879442331186	2.240173109070799e-12	1.2365916147956764e-10
1382	CRABP2	5.435632220386628	2.265684027781536e-12	1.2462071325665514e-10
25907	TMEM158	4.364111499287553	2.337026197085729e-12	1.280873326025527e-10
100188947	NA	-1.853216228782089	2.379545216137996e-12	1.2995523359482722e-10
84100	ARL6	3.216243369477122	2.4009338111449737e-12	1.3021494154016764e-10
1643	DDB2	4.180500999256843	2.4012105316153244e-12	1.3021494154016764e-10
8325	FZD8	-2.1134514680347314	2.42719523987494e-12	1.311622241730314e-10
80763	SPX	-4.585466677393646	2.4631585234566285e-12	1.3264022524390047e-10
84451	MAP3K21	-3.300537961888022	2.531567862807677e-12	1.3558248408886828e-10
5978	REST	2.0960749459733234	2.5428153958713162e-12	1.3558248408886828e-10
10474	TADA3	1.7195019718247568	2.5442073827467656e-12	1.3558248408886828e-10
81577	GFOD2	2.5163936754087812	2.5621530304131213e-12	1.3594323506320395e-10
2900	GRIK4	3.2318076805848843	2.5686306995255083e-12	1.3594323506320395e-10
57045	TWSG1	2.5219257273502347	2.594669844594344e-12	1.368510625910873e-10
79047	KCTD15	-2.858098239646499	2.6120626938961147e-12	1.3726831558285586e-10
92840	REEP6	-3.3941296352113923	2.62496869057512e-12	1.3726831558285586e-10
