Entrez_ID	hgnc_symbol	logFC	P.Value	adj.P.Val
3185	HNRNPF	2.5536190420835703	6.607478001789134e-9	7.56256745281008e-7
5099	PCDH7	-2.095944169270076	6.609316130824399e-9	7.56256745281008e-7
1846	DUSP4	3.388029563048451	6.6121475015126385e-9	7.56256745281008e-7
57472	CNOT6	-2.4222309027435123	6.657682084805118e-9	7.56256745281008e-7
145645	TERB2	-1.742307313222224	6.715866194694422e-9	7.56256745281008e-7
88455	ANKRD13A	1.7665167343962545	6.721721770686337e-9	7.56256745281008e-7
7813	EVI5	2.4674827358663016	6.769792413029832e-9	7.56256745281008e-7
26154	ABCA12	1.7457714970952738	6.786979517592757e-9	7.56256745281008e-7
9400	RECQL5	-4.950380276999301	6.907667223630918e-9	7.580536917373682e-7
6360	CCL16	-4.188780922153068	6.9389323719300164e-9	7.580536917373682e-7
5860	QDPR	1.969788844558461	6.943860022103762e-9	7.580536917373682e-7
53828	FXYD4	1.860460671451747	7.067262100537348e-9	7.58958620734754e-7
23215	PRRC2C	-4.110723060510408	7.072784918206309e-9	7.58958620734754e-7
116969	ART5	1.6380045441753004	7.09307122182013e-9	7.58958620734754e-7
6320	CLEC11A	3.5158321938618244	7.14223100998847e-9	7.591909633446297e-7
253558	LCLAT1	-3.847340193869555	7.348829914634418e-9	7.760460452990084e-7
4683	NBN	-2.0458521142832042	7.496032493855853e-9	7.817203558306499e-7
5582	PRKCG	2.8852765069589466	7.523988020496132e-9	7.817203558306499e-7
51666	ASB4	-2.086487140811321	7.573913544426426e-9	7.817203558306499e-7
57649	PHF12	-2.206977622556949	7.596094316111408e-9	7.817203558306499e-7
284111	SLC13A5	-1.643064062653554	7.71338803242729e-9	7.87039104530177e-7
160762	CCDC63	-3.002526925133999	7.821372113645314e-9	7.87039104530177e-7
9759	HDAC4	2.28318046175545	7.837744511912061e-9	7.87039104530177e-7
3061	HCRTR1	-3.7585823662161673	7.85454618622884e-9	7.87039104530177e-7
377007	KLHL30	1.851126692766028	7.89133718721846e-9	7.87039104530177e-7
441869	ANKRD65	2.718248034112137	7.987743843148801e-9	7.914135406494207e-7
29785	CYP2S1	2.3090971440739274	8.033163376029276e-9	7.914135406494207e-7
51053	GMNN	-3.2310160206325307	8.1208508779579e-9	7.952032209056395e-7
22853	LMTK2	-2.4301548854371156	8.170064657444834e-9	7.952032209056395e-7
5810	RAD1	1.6380308842244724	8.375933116898981e-9	8.103589902379451e-7
388799	FAM209B	1.7668048814193962	8.526166977380074e-9	8.199838086519635e-7
9948	WDR1	-4.261380758646301	8.641932401872542e-9	8.248473331273445e-7
130367	SGPP2	2.2723392257318937	8.678841779516528e-9	8.248473331273445e-7
3608	ILF2	2.441667431994841	8.747078501884932e-9	8.264710371634786e-7
192286	HIGD2A	-1.7774693204369771	8.823604953775212e-9	8.282919813653053e-7
56246	MRAP	2.403437138257901	8.868881152206338e-9	8.282919813653053e-7
64284	RAB17	-2.947607960629528	9.280734950204591e-9	8.567246053466291e-7
54532	USP53	4.425153221563727	9.341281411286235e-9	8.567246053466291e-7
5692	PSMB4	1.7330124993182328	9.369547400085575e-9	8.567246053466291e-7
64332	NFKBIZ	-4.271024726477562	9.443455869172539e-9	8.567246053466291e-7
5672	PSG1	-1.7227247123822576	9.510130237797997e-9	8.567246053466291e-7
5672	PSG4	-1.7227247123822576	9.510130237797997e-9	8.567246053466291e-7
6500	SKP1	-1.4956689883140988	9.522110881019032e-9	8.567246053466291e-7
3116	HLA-DPB2	1.6589565339126566	9.544496438843426e-9	8.567246053466291e-7
79903	NAA60	4.471928015305027	9.661242085865282e-9	8.577852839227594e-7
140625	ACTRT2	-2.5667185204858742	9.662494378532044e-9	8.577852839227594e-7
3747	KCNC2	2.441526017879021	9.75205713502839e-9	8.610053941565775e-7
79177	ZNF576	-2.2457963471496374	9.933072639833986e-9	8.691737000793352e-7
5717	PSMD11	-1.8568257227227198	9.952165285305256e-9	8.691737000793352e-7
594	BCKDHB	-1.953282278621284	1.0240639791705814e-8	8.862552334612717e-7
23677	SH3BP4	-3.8221429482039397	1.0309797114876048e-8	8.862552334612717e-7
164312	LRRN4	-2.5400901820348603	1.0346497576350457e-8	8.862552334612717e-7
26996	GPR160	1.750052567513288	1.0489185398617315e-8	8.862552334612717e-7
3654	IRAK1	-3.992687660145834	1.0516527500687575e-8	8.862552334612717e-7
55283	MCOLN3	4.698638891673453	1.0596192852638288e-8	8.862552334612717e-7
54704	PDP1	1.4832400440215285	1.0636165199760996e-8	8.862552334612717e-7
56850	GRIPAP1	-2.6066463750681317	1.0676058240497394e-8	8.862552334612717e-7
686	BTD	-4.492155019749123	1.074178884765464e-8	8.862552334612717e-7
4329	ALDH6A1	-3.8088275826851703	1.0777765368342776e-8	8.862552334612717e-7
1192	CLIC1	-1.9823645041202822	1.081291805155466e-8	8.862552334612717e-7
6711	SPTBN1	-4.2444207116005455	1.0841677399955676e-8	8.862552334612717e-7
10261	IGSF6	-1.5330034885729493	1.0860836555383537e-8	8.862552334612717e-7
84445	LZTS2	2.6488595849002836	1.0973279763896375e-8	8.899039753069081e-7
140467	ZNF358	-4.260753296975216	1.1033676774140429e-8	8.899039753069081e-7
90410	IFT20	-3.2883304525570476	1.111703218505846e-8	8.899039753069081e-7
2124	EVI2B	-3.8997008319411903	1.11584698007241e-8	8.899039753069081e-7
1271	CNTFR	-2.7226351398055826	1.118094367687704e-8	8.899039753069081e-7
3939	LDHA	-4.324943978641569	1.1286487150124558e-8	8.939008474733455e-7
84620	ST6GAL2	-2.9315612103385558	1.1624299190155654e-8	9.087690485808853e-7
55227	LRRC1	2.213260209043449	1.166766457394322e-8	9.087690485808853e-7
1956	EGFR	-1.8001830198330828	1.1811912404614108e-8	9.087690485808853e-7
64005	MYO1G	1.4071841881815372	1.1816588374833437e-8	9.087690485808853e-7
196472	GARIN6	-2.3744876439414146	1.1872481674880307e-8	9.087690485808853e-7
1472	CST4	-2.049432683895155	1.1943760275920106e-8	9.087690485808853e-7
55435	AP1AR	-3.9662060447578202	1.1947024382333391e-8	9.087690485808853e-7
8940	TOP3B	-2.778573728992701	1.1968540313113576e-8	9.087690485808853e-7
55030	FBXO34	-3.834975348613913	1.1980429989956585e-8	9.087690485808853e-7
55328	RNLS	-2.675472408889313	1.2051168529667879e-8	9.098632239899248e-7
79943	ZNF696	-4.349533592367625	1.2258671169336728e-8	9.212248841068535e-7
26018	LRIG1	-4.3832542700568045	1.2388652916978153e-8	9.23835461191479e-7
5684	PSMA3	2.5074777976449707	1.2407767226499409e-8	9.23835461191479e-7
54964	C1orf56	1.9167886396868339	1.2490935756164866e-8	9.257616927172281e-7
1142	CHRNB3	-3.9291019404725476	1.2638284185005662e-8	9.324052857403492e-7
6556	SLC11A1	2.2669038779155324	1.2915445498917108e-8	9.380682743690187e-7
317	APAF1	-3.8897448804823407	1.303610438733971e-8	9.380682743690187e-7
11261	CHP1	-1.8505273854264324	1.3058518518627811e-8	9.380682743690187e-7
7113	TMPRSS2	-3.826198826089936	1.31194724370345e-8	9.380682743690187e-7
57493	HEG1	-2.673892854450743	1.314236902378352e-8	9.380682743690187e-7
11272	PRR4	-4.29783911847823	1.3212760411404179e-8	9.380682743690187e-7
3803		-2.5551152924357807	1.3291783909161255e-8	9.380682743690187e-7
3803	KIR2DL2	-2.5551152924357807	1.3291783909161255e-8	9.380682743690187e-7
55182	RNF220	-3.048484889902802	1.3375264747150257e-8	9.380682743690187e-7
3745	KCNB1	-4.066504213093982	1.342947863879058e-8	9.380682743690187e-7
85413	SLC22A16	1.5510912437377913	1.3451840369213733e-8	9.380682743690187e-7
80267	EDEM3	-4.251510463332166	1.3520348529817184e-8	9.380682743690187e-7
283455	KSR2	-1.5881565803384474	1.3521615436109494e-8	9.380682743690187e-7
11000	SLC27A3	-4.297283482867245	1.3529013989155365e-8	9.380682743690187e-7
4477	MSMB	3.1400571530477	1.3533552704977067e-8	9.380682743690187e-7
63939	FAM217B	-4.362498883919029	1.362088237472378e-8	9.380682743690187e-7
167465	ZNF366	-4.863914272091072	1.3643996068374043e-8	9.380682743690187e-7
6710	SPTB	2.082846124181907	1.3767733326778735e-8	9.425646922066274e-7
144455	E2F7	-2.9658495879611264	1.39422687049831e-8	9.499411918457118e-7
278	AMY1C	2.429836841929268	1.399306824653583e-8	9.499411918457118e-7
51466	EVL	1.6501717535093037	1.4113567662643414e-8	9.541126055453122e-7
81607	NECTIN4	-1.8100926585822712	1.4200200538189773e-8	9.559693337313842e-7
220979	ZNF22-AS1	-4.236684548287615	1.4497159870593419e-8	9.719112532331033e-7
5501	PPP1CC	-3.439450354456536	1.4602464567984603e-8	9.74925702582344e-7
1933	EEF1B2	-1.8619868374966744	1.4685824638383087e-8	9.764562497216277e-7
8528	DDO	-1.6506581700956964	1.4856715910836803e-8	9.798273177201368e-7
23556	PIGN	4.229733732435825	1.4857813507546794e-8	9.798273177201368e-7
417	ART1	-4.3536848344962875	1.4920055416743904e-8	9.799322575948424e-7
1314	COPA	-2.3144295556564667	1.5080195635980603e-8	9.849784830873728e-7
4908	NTF3	-2.335519260643612	1.5129173219100614e-8	9.849784830873728e-7
56164	STK31	-2.4677149971778443	1.5179776090162517e-8	9.849784830873728e-7
7773	ZNF230	1.525751767577424	1.5808472110635556e-8	1.0216699355661547e-6
348	APOE	1.6731229789138977	1.5897117552025855e-8	1.023305690390764e-6
23523	CABIN1	-2.094118518856395	1.5988544481442008e-8	1.025106798359756e-6
1084	CEACAM3	-4.1027121686554695	1.6147816402377953e-8	1.028173645235523e-6
11336	EXOC3	2.4470123207909347	1.6163650794691022e-8	1.028173645235523e-6
60467	BPESC1	-1.5502314681195069	1.6264635964273087e-8	1.0305400912735696e-6
4216	MAP3K4	-3.5213861983009576	1.644890135967745e-8	1.0381441377668303e-6
3420	IDH3B	-4.3219105681624335	1.6567547535252978e-8	1.0415636790937057e-6
391104	VHLL	-2.081608916196178	1.67614051734235e-8	1.049666757313967e-6
81493	SYNC	-2.218757136637789	1.6829944064571923e-8	1.0498895994258246e-6
93109	TMEM44	-2.749466374420655	1.7006006825349515e-8	1.0517081389354182e-6
5514	PPP1R10	-2.6564755354585916	1.70229961580289e-8	1.0517081389354182e-6
55151	TMEM38B	-2.11222347039803	1.7054374723097083e-8	1.0517081389354182e-6
116441	TM4SF18	-3.913156094795752	1.727425946380678e-8	1.0547792358730095e-6
11277	TREX1	1.5630340532649678	1.7297730270365436e-8	1.0547792358730095e-6
10241	CALCOCO2	2.8750579649568673	1.730002460273241e-8	1.0547792358730095e-6
2264	FGFR4	-1.8830007983788013	1.7412525031616404e-8	1.0576472441196475e-6
55585	UBE2Q1	-2.2178666850459283	1.7524744564878253e-8	1.0604767712911534e-6
6701	SPRR2B	-4.193975723085409	1.763011835865525e-8	1.062872471346242e-6
4282	MIF	3.707959031614526	1.8205236354895256e-8	1.093464698089378e-6
10626	TRIM16	-3.4799617373489125	1.8283781776695043e-8	1.0941150450594883e-6
51246	SHISA5	-4.078268996758498	1.8424681641280997e-8	1.0982871858444424e-6
2690	GHR	-3.9689120431673994	1.848945438817159e-8	1.0982871858444424e-6
3682	ITGAE	-2.725206366491274	1.8705567519959188e-8	1.1070544117948007e-6
10179	RBM7	-4.362534396859584	1.881388680509491e-8	1.1094013471164906e-6
4856	CCN3	1.8795747580467956	1.891088925057225e-8	1.1099323102853811e-6
9271	PIWIL1	1.4487807324893562	1.8960284560176098e-8	1.1099323102853811e-6
10963	STIP1	-1.554829831646703	1.9448735612406703e-8	1.1344159613344949e-6
2533	FYB1	-3.9406173785727256	1.9982891184414524e-8	1.1591015553024264e-6
1662	DDX10	1.5230453228723908	2.0034428852747607e-8	1.1591015553024264e-6
342574	KRT27	-4.211226988663712	2.0087171844072502e-8	1.1591015553024264e-6
5370	PMCHL2	-1.6463429445283804	2.0329808163636084e-8	1.1689277953731964e-6
23284	ADGRL3	-4.040062278517841	2.0500653162963443e-8	1.1745711104751787e-6
27121	DKK4	-4.427737989504249	2.0600750756546165e-8	1.1761354416025314e-6
80820	EEPD1	-4.220257020760861	2.072700044979845e-8	1.1791765713640619e-6
165631	PARP15	-4.34623252677718	2.087525302371477e-8	1.1813765537447419e-6
7696	NA	2.3944605523533378	2.091824623325208e-8	1.1813765537447419e-6
80210	ARMC9	4.784345603212932	2.098502636162288e-8	1.1813765537447419e-6
140771	SMCR5	2.7465170895680875	2.116575887079439e-8	1.1874137710952255e-6
7288	TULP2	-4.33740682830645	2.1317638006019797e-8	1.189203386538567e-6
8675	STX16	-4.297368153245511	2.134486489423683e-8	1.189203386538567e-6
3483	IGFALS	-4.114566874227728	2.1488397274118233e-8	1.1897634652674131e-6
120787	OR52W1	2.727427964941158	2.1520286324780578e-8	1.1897634652674131e-6
51667	NUB1	2.155480512895147	2.1575830619753175e-8	1.1897634652674131e-6
7133	TNFRSF1B	-2.5042752756262714	2.2138424234203467e-8	1.2105497638953734e-6
9943	OXSR1	-1.795903805867216	2.2150628433742423e-8	1.2105497638953734e-6
57553	MICAL3	-4.497931066792093	2.2177553389430622e-8	1.2105497638953734e-6
139081	MAGEC3	-1.6257384803109474	2.25026173036541e-8	1.2241575345964285e-6
65991	FUNDC2	-4.979142087960262	2.277695264408909e-8	1.234923570035394e-6
84230	LRRC8C	-2.512304234154895	2.2888767707520244e-8	1.2368355178943297e-6
220136	CFAP53	3.3485839800713597	2.3064652785577607e-8	1.2412007593215853e-6
27132	CPNE7	-4.486801204163725	2.31231929538774e-8	1.2412007593215853e-6
55827	DCAF6	-4.373754882440887	2.3289893180554616e-8	1.2434299494771147e-6
10797	MTHFD2	4.405819721131712	2.331886493586005e-8	1.2434299494771147e-6
3074	HEXB	2.591603186007395	2.3477078393325312e-8	1.2434299494771147e-6
3665	IRF7	-3.9970623108836265	2.352148937747693e-8	1.2434299494771147e-6
100129726	NA	-1.4185320312145668	2.3549518137030212e-8	1.2434299494771147e-6
55116	TMEM39B	2.7404467556730787	2.3803414540918067e-8	1.252741917712095e-6
79136	NA	-4.514852013560226	2.4007189879390316e-8	1.2593641781860692e-6
5956	OPN1LW	3.3869334055804794	2.4133863679449817e-8	1.2619120888960217e-6
9351	NHERF2	-2.759766173284985	2.4421529866128634e-8	1.2728343807969044e-6
327657	SERPINA9	1.5491573699747985	2.4777965996770132e-8	1.2836410558773896e-6
283985	FADS6	2.1310471209738426	2.478777059068797e-8	1.2836410558773896e-6
80818	ZNF436	-3.7049156562468806	2.521074075869488e-8	1.30009181322983e-6
5966	REL	-4.363818659033671	2.527592545362467e-8	1.30009181322983e-6
