MIMAT_ID	logFC	P.Value	adj.P.Val
MIMAT0004509	0.20821346194774432	1.5344082991539484e-4	0.001722373315800307
MIMAT0004784	-1.3316834110291818	1.5580605400218337e-4	0.0017344690474457934
MIMAT0015038	-0.33692305684866397	1.6222957615161706e-4	0.0017911740907887556
MIMAT0000419	0.988052902663461	1.6557763119410355e-4	0.0018132769855159145
MIMAT0015028	0.6717753555296692	1.6964473014409128e-4	0.0018428342863233142
MIMAT0004571	-0.654732104440098	1.7348477586659038e-4	0.0018616081703779954
MIMAT0000424	1.5533784570683515	1.7413706716230693e-4	0.0018616081703779954
MIMAT0000732	-0.8245378960064987	1.7670163601811377e-4	0.0018741504229637738
MIMAT0016848	0.16659219142268417	1.7953013506529387e-4	0.0018833742473135175
MIMAT0016897	-2.0560115455355064	1.8091460570142468e-4	0.0018833742473135175
MIMAT0004597	1.302098987996015	1.8176588875334614e-4	0.0018833742473135175
MIMAT0000754	-0.4978817375094821	2.0792975305182094e-4	0.002138025781380174
MIMAT0000770	3.5655252503610755	2.3203721965845997e-4	0.002367834355151103
MIMAT0005797	0.38338818351469856	2.4125257609990626e-4	0.002443362556440404
MIMAT0002178	-0.47099522195399923	2.517585427251138e-4	0.0025307369929158828
MIMAT0004945	0.8757516971879432	2.652517732430836e-4	0.0026466232485809894
MIMAT0018179	1.31373249944981	2.827953732608976e-4	0.002800921821929625
MIMAT0000087	-1.810021388078824	2.8985096046315256e-4	0.0028498484944807774
MIMAT0000101	1.1540258468112308	3.002648172387831e-4	0.0029308457160916
MIMAT0003339	0.8671905567854037	3.048398566743092e-4	0.002954095589498521
MIMAT0018350	0.4829213176742964	3.2435501076857876e-4	0.003095138127220212
MIMAT0015082	-0.22437827422623122	3.2451452025096365e-4	0.003095138127220212
MIMAT0016925	-0.16951395472472688	3.262877609987158e-4	0.003095138127220212
MIMAT0003273	0.6376436539865405	3.354072716945841e-4	0.0031493396112791568
MIMAT0004703	-0.7248198063852695	3.3667773127260477e-4	0.0031493396112791568
MIMAT0000765	-1.7074081734405966	3.5170168495948735e-4	0.003267187376830548
MIMAT0017996	-0.747866101342474	3.5956923222318834e-4	0.003294830861440015
MIMAT0003239	1.1650243428121674	3.595695149455696e-4	0.003294830861440015
MIMAT0002824	0.5734874674977558	3.640772447587071e-4	0.0033135949235809353
MIMAT0014708	1.0907436347443724	3.790127137612108e-4	0.003412879524625425
MIMAT0018071	1.0697501298647976	3.800533991787778e-4	0.003412879524625425
MIMAT0000066	1.4612643585411722	3.8571868906538554e-4	0.0034408150607355917
MIMAT0004553	-0.6335258722053485	3.962238405888055e-4	0.003511273113638954
MIMAT0000721	-0.23292429421438055	4.24812761294791e-4	0.0037400182317913954
MIMAT0000691	-2.011446342075746	4.312268954700464e-4	0.0037657496975264638
MIMAT0000100	1.207589740398497	4.333268026106919e-4	0.0037657496975264638
MIMAT0004956	0.34351084904824414	4.4029074169520674e-4	0.0038017412119451506
MIMAT0004484	0.34918868730358055	4.448226449683693e-4	0.0038162418485910964
MIMAT0001340	0.29850617391846573	4.4763638610051463e-4	0.0038162418485910964
MIMAT0002186	-2.1426873317808623	4.5574810518169247e-4	0.0038609603627656583
MIMAT0005909	-0.18526181696547314	5.170589230501266e-4	0.004352989808428253
MIMAT0016862	0.2665594233078646	5.319206299458103e-4	0.004450292475385133
MIMAT0004680	-0.3594719031326413	6.080080686296411e-4	0.005055474496568683
MIMAT0004514	0.832512890978021	6.762022709738909e-4	0.005588002815962154
MIMAT0014997	-1.1743475380324915	7.110130595450365e-4	0.005839845068336366
MIMAT0003386	-0.45083999694023386	7.755040743793027e-4	0.006330933261751035
MIMAT0004702	0.36274856924876997	8.291643545863842e-4	0.006728219190529274
MIMAT0016851	-1.709385712732416	8.366095461781381e-4	0.006747982387436837
MIMAT0000416	3.529909619725259	9.095969982270062e-4	0.007293018789355817
MIMAT0000760	1.0855454071434774	9.499340642927541e-4	0.007571367956226862
MIMAT0000440	0.2694552813863981	9.558654286857237e-4	0.007573827837880411
MIMAT0000104	1.0780687974373435	0.001031568122704312	0.008125861177091862
MIMAT0004925	0.5931376270937173	0.00106930566347007	0.008346986360404285
MIMAT0003257	-0.2716471869145571	0.0010720331405715971	0.008346986360404285
MIMAT0000763	-1.6540416655490047	0.0011068054178826137	0.00848773818316332
MIMAT0005879	-0.14763377046025436	0.0011084582024527803	0.00848773818316332
MIMAT0003228	-1.303254126953731	0.001115153930754406	0.00848773818316332
MIMAT0004810	0.39259407108384126	0.0011153152623755809	0.00848773818316332
MIMAT0005917	-0.296645269882663	0.0011488047543082953	0.008693483168838617
MIMAT0000242	-0.3161770685419908	0.0012713442720332154	0.009567043209099112
MIMAT0005920	0.1083725829749659	0.0012968599294064169	0.009704835138391352
MIMAT0004493	0.6890245174813714	0.00134236822353501	0.009989889486749493
MIMAT0005938	0.3121763329737496	0.0013676118863177216	0.010121830828955885
MIMAT0006016	-0.08850347813983232	0.0013960608308288976	0.010275923164625821
MIMAT0002814	-0.5362371620321631	0.0014726050027017777	0.010780429014343992
MIMAT0005881	0.37448782889059606	0.001505330304810061	0.010952835226311434
MIMAT0004682	1.0548493228534643	0.0015124182272412225	0.010952835226311434
MIMAT0018359	-0.20017381848810217	0.0016718320798757545	0.012042555142206637
MIMAT0004549	-0.685921303651821	0.001686555026414877	0.012083987343515103
MIMAT0007888	0.42312994132022486	0.0017022838812495102	0.012132150201286192
MIMAT0000258	1.2147090202315058	0.0017658355384805194	0.012518844580701367
