
Overlap Results

Collection(s):	C2, H
# overlaps shown:	10
# genesets in collections:	7720
# genes in comparison (n):	114
# genes in universe (N):	43722

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	792	Cytokine Signaling in Immune system	26	0.0328	2.59E-21	2E-17
WP_PLEURAL_MESOTHELIOMA	439	Pleural mesothelioma	20	0.0456	2.85E-19	1.1E-15
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	920	Cellular responses to stimuli	25	0.0272	1.47E-18	3.77E-15
WP_CANCER_PATHWAYS	507	Cancer pathways	20	0.0394	4.68E-18	9.04E-15
REACTOME_SIGNALING_BY_INTERLEUKINS	461	Signaling by Interleukins	19	0.0412	1.53E-17	2.36E-14
WINTER_HYPOXIA_METAGENE	243	Genes regulated by hypoxia, based on literature searches.	15	0.0617	1.23E-16	1.59E-13
HALLMARK_HYPOXIA	200	Genes up-regulated in response to low oxygen levels (hypoxia).	14	0.0700	2.32E-16	2.56E-13
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	532	Signaling by Receptor Tyrosine Kinases	18	0.0338	3.51E-15	3.38E-12
WP_INSULIN_SIGNALING	160	Insulin signaling	11	0.0688	5.18E-13	4.17E-10
WP_GASTRIN_SIGNALING	115	Gastrin signaling	10	0.0870	5.75E-13	4.17E-10


Gene/Gene Set Overlap Matrix

27250	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM				REACTOME_SIGNALING_BY_INTERLEUKINS					
6597	SMARCA4	SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4 [Source:HGNC Symbol;Acc:HGNC:11100]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM				REACTOME_SIGNALING_BY_INTERLEUKINS					
6624	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM				REACTOME_SIGNALING_BY_INTERLEUKINS					
29110	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM				REACTOME_SIGNALING_BY_INTERLEUKINS					
5783	PTPN13	protein tyrosine phosphatase non-receptor type 13 [Source:HGNC Symbol;Acc:HGNC:9646]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM				REACTOME_SIGNALING_BY_INTERLEUKINS					
5045	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM							REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES		
4684	NCAM1	neural cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:7656]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM									
10413	YAP1	Yes1 associated transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:16262]		WP_PLEURAL_MESOTHELIOMA	REACTOME_CELLULAR_RESPONSES_TO_STIMULI					REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES		
9448	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]		WP_PLEURAL_MESOTHELIOMA	REACTOME_CELLULAR_RESPONSES_TO_STIMULI						WP_INSULIN_SIGNALING	
23512	SUZ12	SUZ12 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:17101]		WP_PLEURAL_MESOTHELIOMA	REACTOME_CELLULAR_RESPONSES_TO_STIMULI							
4323	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]		WP_PLEURAL_MESOTHELIOMA	REACTOME_CELLULAR_RESPONSES_TO_STIMULI							
